celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score
Courtney Hadwin,N/A,Singer,UK,UK,13,2,Winner,1,8.0,9.0,7.0,9.0,8.0,9.0,10.0,10.0,10.0,8.0,10.0,9.0,8.0,9.0,7.0,10.0,10.0,10.0,9.0,8.0,9.0,10.0,7.0,8.0,10.0,9.0,10.0,7.0,7.0,7.0,10.0,8.0,9.0,8.0,8.0,9.0,10.0,7.0,8.0,10.0,10.0,9.0,7.0,9.0
Bianca Ryan,N/A,Singer,Pennsylvania,USA,11,2,Runner-up,2,10.0,7.0,9.0,8.0,9.0,8.0,9.0,7.0,9.0,10.0,7.0,9.0,7.0,10.0,10.0,7.0,7.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,10.0,7.0,8.0,7.0,7.0,8.0,8.0,7.0,9.0,10.0,8.0,8.0,8.0,9.0,7.0,7.0,10.0,7.0,8.0,7.0
Light Balance,N/A,Dance,Ukraine,Ukraine,30,2,3rd Place,3,10.0,10.0,8.0,10.0,9.0,9.0,9.0,10.0,7.0,9.0,10.0,8.0,10.0,10.0,8.0,8.0,9.0,9.0,8.0,8.0,7.0,10.0,8.0,8.0,10.0,10.0,8.0,7.0,10.0,7.0,7.0,9.0,9.0,9.0,9.0,7.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0
Mat Franco,N/A,Magician,Rhode Island,USA,25,2,Eliminated Week 4,4,7.0,8.0,9.0,8.0,7.0,8.0,8.0,8.0,10.0,7.0,9.0,10.0,9.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kodi Lee,N/A,Singer,California,USA,22,2,Eliminated Week 5,5,10.0,7.0,7.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,7.0,9.0,10.0,8.0,7.0,9.0,10.0,10.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piff the Magic Dragon,N/A,Magician,UK,UK,35,2,Eliminated Week 5,6,10.0,10.0,9.0,9.0,10.0,10.0,8.0,7.0,10.0,10.0,7.0,8.0,7.0,7.0,8.0,9.0,10.0,9.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zurcaroh,N/A,Acrobat,Austria,Austria,25,2,Eliminated Week 5,7,9.0,7.0,9.0,7.0,9.0,7.0,7.0,8.0,7.0,7.0,8.0,10.0,10.0,10.0,7.0,9.0,9.0,8.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenichi Ebina,N/A,Dance,Japan,Japan,38,2,Eliminated Week 5,8,8.0,7.0,8.0,8.0,7.0,10.0,9.0,10.0,7.0,8.0,9.0,8.0,9.0,8.0,8.0,10.0,8.0,8.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grace VanderWaal,N/A,Singer,New York,USA,12,2,Eliminated Week 6,9,9.0,10.0,7.0,10.0,9.0,8.0,10.0,10.0,10.0,10.0,10.0,7.0,8.0,9.0,8.0,10.0,10.0,8.0,8.0,8.0,8.0,10.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V.Unbeatable,N/A,Dance Troupe,India,India,20,2,Eliminated Week 2,10,7.0,9.0,7.0,8.0,7.0,7.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Zerdin,N/A,Ventriloquist,UK,UK,47,3,Winner,1,9.0,8.0,9.0,10.0,10.0,8.0,10.0,7.0,7.0,9.0,9.0,9.0,8.0,8.0,7.0,10.0,8.0,9.0,8.0,8.0,7.0,9.0,7.0,8.0,10.0,8.0,9.0,10.0,10.0,8.0,8.0,8.0,7.0,10.0,10.0,9.0,8.0,7.0,9.0,10.0,9.0,9.0,9.0,9.0
Light Balance,N/A,Dance,Ukraine,Ukraine,30,3,Runner-up,2,7.0,7.0,9.0,8.0,10.0,8.0,7.0,7.0,9.0,10.0,9.0,8.0,7.0,7.0,7.0,10.0,8.0,7.0,7.0,7.0,8.0,8.0,7.0,8.0,7.0,8.0,10.0,7.0,8.0,8.0,7.0,9.0,7.0,8.0,8.0,7.0,9.0,8.0,9.0,10.0,8.0,10.0,9.0,10.0
V.Unbeatable,N/A,Dance Troupe,India,India,20,3,3rd Place,3,9.0,9.0,9.0,9.0,7.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,8.0,10.0,9.0,9.0,8.0,9.0,10.0,10.0,7.0,7.0,9.0,7.0,7.0,10.0,8.0,10.0,8.0,9.0,8.0,10.0,8.0,10.0,10.0,8.0,7.0,8.0,10.0,8.0,8.0,7.0
Shin Lim,N/A,Magician,Canada,Canada,26,3,Eliminated Week 5,4,8.0,10.0,8.0,9.0,10.0,7.0,10.0,8.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bianca Ryan,N/A,Singer,Pennsylvania,USA,11,3,Eliminated Week 5,5,10.0,10.0,10.0,7.0,10.0,7.0,10.0,9.0,10.0,8.0,10.0,10.0,8.0,9.0,10.0,9.0,8.0,7.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darci Lynne,N/A,Ventriloquist,Oklahoma,USA,12,3,Eliminated Week 5,6,10.0,10.0,7.0,8.0,7.0,10.0,9.0,7.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Preacher Lawson,N/A,Comedian,Florida,USA,26,3,Eliminated Week 1,7,8.0,7.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piff the Magic Dragon,N/A,Magician,UK,UK,35,3,Eliminated Week 4,8,10.0,10.0,7.0,8.0,9.0,7.0,7.0,7.0,10.0,10.0,9.0,7.0,10.0,9.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grace VanderWaal,N/A,Singer,New York,USA,12,3,Eliminated Week 3,9,10.0,10.0,10.0,10.0,8.0,8.0,9.0,8.0,9.0,10.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terry Fator,N/A,Ventriloquist,Texas,USA,42,3,Eliminated Week 6,10,10.0,7.0,10.0,9.0,7.0,10.0,8.0,7.0,10.0,9.0,9.0,8.0,7.0,8.0,9.0,10.0,9.0,10.0,8.0,8.0,7.0,8.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bianca Ryan,N/A,Singer,Pennsylvania,USA,11,4,Winner,1,10.0,10.0,10.0,10.0,10.0,8.0,10.0,8.0,9.0,9.0,7.0,10.0,8.0,9.0,7.0,7.0,8.0,7.0,7.0,7.0,10.0,7.0,7.0,8.0,9.0,8.0,10.0,9.0,10.0,10.0,9.0,10.0,7.0,7.0,10.0,10.0,7.0,9.0,10.0,8.0,8.0,9.0,7.0,10.0
Terry Fator,N/A,Ventriloquist,Texas,USA,42,4,Runner-up,2,8.0,8.0,7.0,8.0,7.0,9.0,8.0,8.0,7.0,10.0,7.0,8.0,7.0,7.0,8.0,7.0,7.0,10.0,8.0,9.0,8.0,8.0,7.0,9.0,10.0,8.0,8.0,7.0,9.0,9.0,8.0,8.0,9.0,10.0,8.0,10.0,7.0,8.0,8.0,10.0,10.0,9.0,10.0,7.0
V.Unbeatable,N/A,Dance Troupe,India,India,20,4,3rd Place,3,9.0,8.0,9.0,9.0,7.0,8.0,10.0,10.0,7.0,7.0,10.0,7.0,8.0,7.0,8.0,8.0,10.0,7.0,9.0,10.0,9.0,9.0,7.0,8.0,9.0,10.0,8.0,10.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,8.0,7.0,10.0,7.0,10.0,9.0
Zurcaroh,N/A,Acrobat,Austria,Austria,25,4,Eliminated Week 3,4,10.0,8.0,7.0,9.0,7.0,7.0,8.0,7.0,8.0,9.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darci Lynne,N/A,Ventriloquist,Oklahoma,USA,12,4,Eliminated Week 5,5,7.0,9.0,7.0,8.0,10.0,9.0,9.0,10.0,10.0,7.0,8.0,9.0,10.0,7.0,9.0,9.0,7.0,7.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grace VanderWaal,N/A,Singer,New York,USA,12,4,Eliminated Week 4,6,7.0,10.0,8.0,8.0,10.0,7.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Preacher Lawson,N/A,Comedian,Florida,USA,26,4,Eliminated Week 1,7,10.0,8.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mat Franco,N/A,Magician,Rhode Island,USA,25,4,Eliminated Week 3,8,8.0,7.0,10.0,9.0,10.0,7.0,8.0,8.0,9.0,9.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Light Balance,N/A,Dance,Ukraine,Ukraine,30,4,Eliminated Week 1,9,8.0,9.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Zerdin,N/A,Ventriloquist,UK,UK,47,4,Eliminated Week 4,10,9.0,9.0,9.0,7.0,8.0,8.0,7.0,9.0,9.0,8.0,9.0,9.0,10.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Zerdin,N/A,Ventriloquist,UK,UK,47,5,Winner,1,9.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,8.0,9.0,7.0,9.0,9.0,8.0,10.0,10.0,7.0,7.0,9.0,10.0,9.0,8.0,7.0,7.0,8.0,9.0,9.0,10.0,7.0,7.0,9.0,9.0,8.0,8.0,8.0,10.0,8.0,7.0,10.0,7.0,9.0,10.0,9.0,8.0
Preacher Lawson,N/A,Comedian,Florida,USA,26,5,Runner-up,2,8.0,8.0,9.0,7.0,8.0,7.0,9.0,7.0,7.0,10.0,9.0,7.0,9.0,9.0,7.0,9.0,8.0,8.0,9.0,8.0,7.0,7.0,7.0,7.0,8.0,9.0,7.0,10.0,10.0,8.0,8.0,9.0,8.0,9.0,9.0,7.0,7.0,10.0,7.0,9.0,9.0,8.0,7.0,10.0
Shin Lim,N/A,Magician,Canada,Canada,26,5,3rd Place,3,10.0,8.0,8.0,8.0,7.0,8.0,9.0,7.0,7.0,10.0,9.0,7.0,9.0,8.0,9.0,9.0,10.0,8.0,9.0,10.0,10.0,8.0,9.0,10.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,10.0,9.0,7.0,10.0,8.0,8.0,8.0,7.0,8.0
Darci Lynne,N/A,Ventriloquist,Oklahoma,USA,12,5,Eliminated Week 5,4,8.0,10.0,8.0,8.0,9.0,9.0,7.0,8.0,7.0,10.0,10.0,8.0,7.0,9.0,7.0,7.0,7.0,8.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenichi Ebina,N/A,Dance,Japan,Japan,38,5,Eliminated Week 6,5,8.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,7.0,7.0,8.0,9.0,10.0,9.0,9.0,9.0,7.0,10.0,8.0,7.0,8.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V.Unbeatable,N/A,Dance Troupe,India,India,20,5,Eliminated Week 2,6,8.0,7.0,8.0,9.0,9.0,9.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piff the Magic Dragon,N/A,Magician,UK,UK,35,5,Eliminated Week 6,7,9.0,9.0,8.0,9.0,8.0,8.0,10.0,9.0,7.0,10.0,8.0,9.0,7.0,7.0,9.0,10.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bianca Ryan,N/A,Singer,Pennsylvania,USA,11,5,Eliminated Week 5,8,10.0,8.0,7.0,7.0,10.0,8.0,7.0,8.0,8.0,10.0,8.0,8.0,10.0,7.0,9.0,7.0,8.0,10.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kodi Lee,N/A,Singer,California,USA,22,5,Eliminated Week 4,9,7.0,9.0,10.0,8.0,8.0,10.0,7.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Courtney Hadwin,N/A,Singer,UK,UK,13,5,Eliminated Week 1,10,8.0,9.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
